product_id,onsale_web,price,stock_quantity,stock_status,post_title,post_excerpt,post_status,post_type,average_rating,total_sales
5445,1,16.3,11,instock,La Préceptorie Maury Blanc 2015,"<div class=""pw-hidden-cp"">Nez de caramel. En bouche on retrouve le gout du lait, du sucre et du caramel. Beaucoup de richesse.</div>
&nbsp;",publish,product,0.0,0.0
4353,1,79.5,11,instock,Champagne Egly-Ouriet Grand Cru Brut Rosé,"&nbsp;

Le Rosé Grand Cru de la maison Egly-Ouriet est un champagne qui marie délicatesse et intensité. Il possède une robe rose saumon, et des bulles très fines. Au nez c’est un champagne élégant, sur des notes florales qui évoque la rose. Au second nez, on découvre des arômes de fruits rouges. Sur le palais, c’est une cuvée ample, d’une jolie rondeur, qui offre des notes de fruits des bois, de fruits rouges. C’est une bouche très précise, très pure qui gagne en longueur et en puissance en se réchauffant de quelques degrés.",publish,product,0.0,3.0
4397,1,59.0,7,instock,Wemyss Malts Blended Malt Scotch Whisky The Hive Batch Strength,"Ce Blended Malts en Batch Strength est très légèrement réduits par un faible apport d’eau pour ajuster de façon idéale le degré d’alcool au profil aromatique. Une couleur de miel de fleur d’oranger. Le nez évoque de juteux quartiers d’orange cuits dans le miel et la cannelle, accompagnés d’une crème pâtissière au safran, et autour desquels gravitent des notes de petits pains briochés sortant du four ainsi que des notes de fruits à noyaux, mûrs. En bouche, une explosion de douceurs florales est suivie de notes d’huile d’écorce d’orange et d’avoine grillée. Sans réduction, on a l’impression d’avoir sur la langue un miel frais et sirupeux. Une meringue au caramel (Cinder Toffee) pétillante danse en bouche dans une finale fraîche et nette.",publish,product,0.0,0.0
5969,1,69.0,0,outofstock,Zind-Humbrecht Riesling Clos Windsbuhl 2014,"Le nez dévoile des arômes complexes, encore un peu discrets, rappelant le minéral (pierres mouillées), épices et plantes aromatiques et un peu fumés. Une aération modérée permet une belle évolution, preuve que ce vin ne demande qu’à vieillir. Le palais est marqué par une structure construite autour de l’acidité, qui, en présence de sucres résiduels très discrets, dicte les règles ! Le pH très faible (malgré une fermentation lente et 18 mois sur lies totales) augmente la force de l’acidité en bouche. Forte, mais pas brutale ni agressive, bien au contraire, la finale saline et salivante rend ce vin très agréable et harmonieux. La finale est nette, tendue et devrait encore se resserrer avec le temps.

&nbsp;",publish,product,0.0,0.0
4938,1,12.5,0,outofstock,Domaine Rouge Garance Côtes du Rhône Villages Garances 2016,"Un vin de fruits rouges intenses qui laissent entrevoir une minéralité et des notes de terroir comme le humus et la fougère, imprégnant une bouche puissante et tannique.

&nbsp;

&nbsp;",publish,product,0.0,0.0
4573,1,67.2,9,instock,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,"Le nez intense et racé évoque des saveurs mûres de fleurs et de fruits rouges. Ce
Premier Cru généreux s’exprime en bouche à travers une belle longueur mêlant
l’élegance et la complexité du terroir.

Ce terroir tire son nom du sol qui forme un ensemble fait de petites chailles calcaires et de terres sablonneuses. Un journal (0.33 hectares) représente la surface de travail qu’un cheval peut réaliser en une journée.",publish,product,0.0,0.0
5761,1,19.5,0,outofstock,Huiles d'Olive Extra Vierge Planeta 3x 10cl,"Récoltées entre le 15 octobre et le 30 novembre à la main, ces olives typiques de la région d'Agrigento en Sicile donnent une huile extra vierge de grande qualité. Mix de 3 variétés différentes d'huiles d'olive.",publish,product,0.0,0.0
5799,1,40.2,0,outofstock,Château Carbonnieux Graves Blanc 2017,"Le Château Carbonnieux blanc est un vin de légende. On raconte qu’au XVIIIème siècle il entra chez le Sultan de Constantinople, grâce à sa grande clarté, sous le nom “d’Eau minérale de Carbonnieux”, défiant ainsi la loi coranique. Les terroirs argilo-calcaires de graves garonnaises situés dans l’appellation Pessac-Léognan produisent sans doute les meilleurs vins blancs secs de la région de Bordeaux. Jeunes, les blancs de Carbonnieux charment par leur fraîcheur, leur pureté et leur intensité aromatique à la fois fruitée et florale. Au vieillissement, ils développent des notes de fruits secs et confits qui offrent un large éventail de mariage gastronomique. Les lots qui entreront dans ce cru classé seront assemblés de manière à induire une belle complicité entre les cépages. Les sémillons sélectionnés viendront structurer la vivacité des sauvignons en apportant rondeur et volume en bouche.",publish,product,0.0,0.0
5610,1,18.0,11,instock,Domaine Weinbach Pinot Blanc 2017,"Cette cuvée Pinot Blanc trouve ses origines au Clos des Capucins et vignobles adjacents, sur un terroir de graves. Un raisin cueillit à maturité optimale donne un vin au nez délicat, sur des notes de fruits frais. La bouche révèle une belle ampleur, une grande pureté aromatique et une belle droiture. Un vin friand à découvrir sans attendre !",publish,product,0.0,0.0
4704,1,18.2,0,outofstock,Albert Mann Gewurztraminer 2017,"Un nez floral assez intense sur des arômes de roses et de violettes. On y retrouve également des notes de fruits exotiques, de miel et d'épices. La bouche est charpentée sur un bel équilibre entre la puissance et la finesse, qui amène une jolie finale sur les épices.",publish,product,0.0,3.0
4248,1,14.8,64,instock,Domaine Saint-Denis Mâcon Chardonnay 2017,"Ce Mâcon provient de la commune de Chardonnay, berceau du cépage du même nom. Expressif, frais et minéral, il rappelle les fruits à chair blanche et offre un bel équilibre entre acidité et onctuosité.",publish,product,0.0,12.0
6213,1,121.0,7,instock,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,"""Il s'agit là de la meilleure partie de l'appellation Santenots, autrefois classée tête de cuvée par le docteur Lavalle"". <span class=""font5"">Voilà qui nous plonge dans le bain de cette cuvée emblématique du domaine qui fut assemblée pièce par pièce, tel un puzzle, par le comte Jules Lafon. Ces 3 ha de vignes situées sur le village de Meursault et non de Volnay, sont enracinés sur une terre rouge très argileuse qui donne vie à l’un des plus grands vins rouges de la Côte de Beaune. </span>",publish,product,0.0,0.0
5742,1,42.1,0,outofstock,Domaine Clerget Chambolle-Musigny 2014,"Un vin de rêve… complexe, riche en sensations plein de romantisme, d’élégance issu d’un terroir marqué par le fruit rouge. Il est magnifique, soyeux dans sa jeunesse mais offre un bon potentiel de garde pour ceux qui apprécient des vins aux arômes plus évolués.",publish,product,0.0,0.0
6050,1,38.5,0,outofstock,Christophe Pichon Condrieu 2017,"<span style=""float: none;background-color: transparent;color: #3a3838;font-family: 'Work Sans',sans-serif;font-size: 15px;font-style: normal;font-variant: normal;font-weight: 400;letter-spacing: normal;line-height: 18px;text-align: left;text-decoration: none;text-indent: 0px"">La robe d'un doré brillant laisse place à un nez très expressif qui dégage des notes de mirabelle, de prune et d'abricot sec. La bouche est juteuse, gourmande et ample tout en en gardant une belle acidité qui lui offre un équilibre parfait. La finale mêlant abricot et miel d'acacia est admirable !</span>",publish,product,0.0,0.0
5769,1,33.6,0,outofstock,Camille Giroud Marsannay Rouge Les Longeroies 2016,"<div>Ce vin provient de vignes situées à Marsannay-La-Côte dans les lieux-dits Les Longeroies Dessus et Bas. Exposées au sud-est et à une altitude de 270 à 300 mètres, elles reposent sur un sol brun mince, argileux, riche en pierres (calcaire et chailles) résultant de l’altération des calcaires de Premeaux sous-jacents pour la partie haute et un sol d’épaisseur moyenne (50 à 70 centimètres d’ épaisseur) reposant sur des marnes riches en précipitations secondaires de calcaires et des cailloutis alluviaux abandonnés par la rivière l’Ouche lorsqu’elle coulait à Marsannay-La-Côte pour la partie basse.</div>
&nbsp;",publish,product,0.0,0.0
4288,1,26.7,8,instock,Domaine Hauvette IGP Alpilles Jaspe 2017,"Un magnifique blanc 100% Roussanne avec une fraîcheur, de l'élégance et de la gourmandise. Un grand blanc du Sud !",publish,product,0.0,1.0
4229,1,9.6,26,instock,Mérieau Touraine L'Arpent des Vaudons 2018,"Sa robe est jaune pâle aux reflets argentés. Ce vin livre des notes végétales rafraîchissantes et des notes de fruits blancs. L’attaque en bouche est nette, mais il dévoilera toutes ses rondeurs et sa finesse en bouche. Vin qui bénéficie d’un très bon équilibre et d’une très grande subtilité.",publish,product,0.0,0.0
4204,1,11.3,31,instock,Mas Laval IGP Pays d'Hérault Les Pampres Rouges 2017,"Fruité, gouleyant et aérien, ce vin à des tanins très souples et à beaucoup de gourmandise. Petit vin de plaisir immédiat.",publish,product,0.0,3.0
4077,1,22.9,48,instock,Domaine des Bosquets Gigondas 2016,"Charismatique et envoûtant, minéral, garrigues et épices, ce Gigondas est d'une grande pureté. Son fruit et sa fraîcheur d’altitude le rendent approchable sur la jeunesse. Sa structure tannique se fait plus accueillante au fur et à mesure du vieillissement, pendant 10 à 15 ans.",publish,product,0.0,0.0
6573,1,68.3,12,instock,Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,"Un Chassagne-Montrachet riche, élégant et puissant mais avec la finesse que lui confère sa proximité avec Puligny-Montrachet.",publish,product,0.0,1.0
4716,1,18.6,7,instock,Domaine Schoenheitz Pinot Gris Herrenreben 2017,"Robe jaune paille brillante aux reflets dorés.  Un nez très délicat et fin qui s'ouvre progressivement, évoquant les fleurs blanches (acacia) puis les fruits sur-mûris(pêches blanches, poires, coings). L'attaque est soyeuse et se poursuit sur une bouche structurée, opulente et harmonieuse grâce à un parfait équilibre entre la sucrosité, la puissance et la fraîcheur finale qui prolonge agréablement la persistance de ce grand vin de plaisir .",publish,product,0.0,0.0
4264,1,17.8,48,instock,Chermette Domaine du Vissoux Moulin à Vent Les Trois Roches 2018,"On appelle le Moulin à Vent le roi du Beaujolais. C'est le cru qui a le plus long potentiel de garde et qui se rapproche le plus de ses voisins Bourguignons. Lorsqu'il prend quelques années, on dit parfois qu'il « pinote ». Cette cuvée exprime l'alliance de la finesse et de la puissance. Large palette aromatique allant des petits fruits rouges et noirs très mûrs aux épices avec des notes minérales. L'assemblage des trois parcelles de cette cuvée en font un vin complet et équilibré : Rochegrès apporte la finesse, Roche Noire la vivacité et le fruit, la Rochelle la puissance.",publish,product,0.0,2.0
6887,1,21.8,24,instock,Gratavinum Priorat 2?r 2017,"Le nez est intense, avec des notes de confiture de fruits rouges, des notes minérales, et des notes d’herbes sauvages. Les tanins sont mûrs mais très équilibrés, combinés avec un bon volume et une bonne acidité en bouche. Les arômes fruités font ensuite place à une finition nettement minérale, avec une longue finale et une sensation de fraîcheur.",publish,product,0.0,0.0
6301,1,40.5,20,instock,Borie La Vitarèle Saint-Chinian Midi Rouge 2015,"Midi Rouge, le petit dernier de la Vitarèle comme un hommage aux luttes des anciens. Syrah d'altitude, vieux Carignans de schistes, Mourvèdre et Syrah de crès vinifiés et élevés en demi-muids. Un vin tout en intensité et fraîcheur, élégance et raffinement.",publish,product,0.0,0.0
5484,1,21.6,0,outofstock,David-Beaupère Juliénas Vayolette 2017,"Un Juliénas intense et profond. De beaux arômes de fruits noirs, violette et quelques notes fumées. On garde beaucoup de fraîcheur et de gourmandise.",publish,product,0.0,1.0
4180,1,24.0,47,instock,Domaine de l'Hortus Val de Montferrand La Grande Cuvée Blanc 2018,"<div class=""row"">
<div class=""features-value col-xs-8 col-sm-8 col-md-9"">Puissant et complexe : des notes fruitées (abricot sec), des senteurs de fleurs blanches (acacia), des nuances vanillées et de fruits secs. Attaque pleine et ronde avec des notes fraîches, une finale longue et élégante de l'abricot, des fruits secs, des fleurs blanches et des notes vanillées.</div>
</div>",publish,product,0.0,0.0
4681,1,7.1,178,instock,Domaine de Joy Côtes de Gascogne Blanc Moelleux Saint-André 2018,"Ce vin possède une belle robe jaune aux reflets dorés. Le nez est explosif sur les fruits exotiques. En bouche, l'équilibre sucre/acidité est parfait, rendant ce vin frais, aérien et gourmand.",publish,product,0.0,12.0
4287,1,38.6,22,instock,Domaine Hauvette Les Baux de Provence Cornaline 2014,"Un grand vin des Baux de Provence élégant, puissant, charnu, et intense.",publish,product,0.0,1.0
4711,1,55.4,9,instock,Albert Mann Riesling Grand Cru Schlossberg 2018,"Ce vin porte une robe de couleur vert-jaune intense éclatante. Son expression olfactive est bien équilibrée, avenante, fraîche, fine et harmonieuse. On y décèle de notes d’agrumes frais, de bergamote, de kumquat, de citron jaune mûr, de compotée de pommes. On devine avec aisance la nature du terroir donnant à ce vin racé au noble caractère dû à la roche granitique. Il nous porte dans un univers de minéralité tout en dentelle. La bouche tendue, pluridimensionnelle avec un goût de roche presque imperceptible lui confère une originalité, une personnalité unique. Ce vin est harmonieux, équilibré, sec avec une force distinguée et bien dosée. Très longue finale, vivace sans aucune dureté.",publish,product,0.0,1.0
4648,1,24.3,9,instock,Bernard Baudry Chinon Blanc La Croix Boissée 2018,Le terroir très calcaire donne à La Croix Boissée beaucoup de matière et de minéralité. C’est un joli vin de gastronomie avec des notes de fruits blancs à noyaux et une belle salinité. Quantité limitée.,publish,product,0.0,2.0
5480,1,10.4,37,instock,Domaine Bulliat Chiroubles Cuvée Félix 2019,"Un très joli Chiroubles, souple, élégant et très fruité. Une multitude d'arômes floraux accompagnés de quelques épices douces et doté d'une belle matière.",publish,product,0.0,1.0
4225,1,16.9,20,instock,Pierre Martin Sancerre Chavignol Blanc 2019,"Le nez plaisant, fin et élégant, dévoile des fruits (agrumes) et après ouverture des notes de pèche, de poire et de fleurs blanches. La bouche élégante est bien équilibrée et grasse, avec de la complexité, de la minéralité. Finale persistante.",publish,product,0.0,13.0
4299,1,39.1,18,instock,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018,"Cette cuvée est née en 1987 d’un désir d’isoler les plus beaux Mourvédre du Domaine. Quelque peu spirituel par son nom, parfois impénétrable par sa robe, le Saint Ferréol rend hommage à ce cépage à la fois omniprésent et si difficile à cerner. Introspectif, rigoureux, droit, sa bouche épicée, poivrée laisse une empreinte minérale rappelant nos grès. Le tabac, la truffe, le lys se mêlent à de belles notes acidulées. L’apport du Carignan ouvre le vin, le rend plus brillant dans sa ténébreuse retraite.",publish,product,0.0,0.0
4069,1,60.0,0,outofstock,Gilles Robin Hermitage Rouge 2012,"Une robe rubis intense avec une très belle brillance, un nez somptueux, complexe et riche, une bouche enveloppé dans une très belle rondeur, une finale très longue et équilibrée. C’est un vin magistral tout en finesse avec une très belle puissance.",publish,product,0.0,0.0
4079,1,37.0,0,outofstock,Le Vieux Donjon Châteauneuf-du-Pape 2013,"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

Comme toujours, magistralement élégant, le nez prend des notes de fruits rouges fraîchement ramassés. Le raffinement reste la marque de fabrique de de domaine. Naturel en bouche, il s'impose par sa délicatesse et une énergie magnifique. Superbe!

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>",publish,product,0.0,0.0
4081,1,39.0,0,outofstock,Le Vieux Donjon Châteauneuf-du-Pape 2016,"<div id=""wrapper"">
<div id=""container-wrapper"">
<div id=""content-wrapper"">
<div class=""contenu""><section id=""vue"">
<div class=""wysiwyg"">

Le Vieux Donjon blanc se distingue par une robe jaune pâle, légèrement brillante. Son nez très aromatique s’ouvre sur un bouquet de fleurs d’acacia et de pamplemousse. Vive et parfumée, la bouche présente des notes d’agrumes et de<strong> </strong>fruits exotiques.

</div>
</section></div>
</div>
</div>
</div>
<footer>
<div id=""footer-wrapper"">
<div id=""footer-container""></div>
</div>
</footer>",publish,product,0.0,4.0
4164,1,7.6,19,instock,Parés Baltà Penedès Mas Petit 2015,"Au  nez, on y retrouve des arôme de fruits rouges sur un fond légèrement grillés et vanillés. La bouche est suave, avec des tanins soyeux et ronds avec beaucoup de gourmandise.",publish,product,0.0,20.0
4393,1,57.0,2,instock,Wemyss Malts Blended Malt Scotch Whisky Vanilla Burst,"Nouveau Blended malt proposé par la maison Wemyss et produit à 4800 exemplaires : Les éclats de Vanille. Whisky à la texture assez souple? sur le miel, la vanille et les pêches blanches. La seconde partie de bouche est plus citronnée avec un peu d'herbe coupée. On trouve également du caramel, du malt, de muscade et une pointe de gingembre. La composition est étonnamment carrée avec une jolie fluidité.",publish,product,0.0,0.0
